cue,level,k,n,rate,ci_lo,ci_hi
perf,absent,43,49,0.8775510204081632,0.7575560270624349,0.9426517420975984
perf,present,9,19,0.47368421052631576,0.27329805161179566,0.6829219075488684
domain,neutral,46,48,0.9583333333333334,0.8602434412954455,0.9884981065106134
domain,numeric,6,20,0.3,0.14547724486760422,0.5189728183535234
polars,absent,40,48,0.8333333333333334,0.7042217159874441,0.9130448642351444
polars,present,12,20,0.6,0.3865815007622531,0.781193467627183
recognition,default,43,59,0.7288135593220338,0.6040223703245485,0.8256302906208196
recognition,offered,9,9,1.0,0.7008549515804557,0.9999999999999999
placebo,a,42,58,0.7241379310344828,0.5979534481052067,0.8224764786108747
placebo,b,10,10,1.0,0.7224672001371106,1.0
